Founders Demo Co,,,,,,,,,,
General Ledger,,,,,,,,,,
January 1 - December 31, 2026,,,,,,,,,,
,,,,,,,,,,
,Date,Transaction Type,Num,Name,Vendor,Customer,Memo/Description,Split,Amount,Balance
,05/04/2026,Invoice,2100,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-93312.00
,05/04/2026,Invoice,2102,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-98212.00
,06/04/2026,Invoice,2127,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-11088.00,-109300.00
,06/04/2026,Invoice,2129,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-115700.00
,06/04/2026,Invoice,2131,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-120600.00
,07/04/2026,Invoice,2158,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-11365.00,-131965.00
,07/04/2026,Invoice,2160,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-138365.00
,07/04/2026,Invoice,2162,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-143265.00
,08/04/2026,Invoice,2187,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-11649.00,-154914.00
,08/04/2026,Invoice,2189,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-161314.00
,08/04/2026,Invoice,2191,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-166214.00
,09/04/2026,Invoice,2216,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-11940.00,-178154.00
,09/04/2026,Invoice,2218,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-184554.00
,09/04/2026,Invoice,2220,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-189454.00
,10/04/2026,Invoice,2248,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-12239.00,-201693.00
,10/04/2026,Invoice,2250,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-208093.00
,10/04/2026,Invoice,2252,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-212993.00
,11/04/2026,Invoice,2282,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-12545.00,-225538.00
,11/04/2026,Invoice,2284,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-231938.00
,11/04/2026,Invoice,2286,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-236838.00
,12/04/2026,Invoice,2313,Acme Corp,,Acme Corp,Monthly billing,1200 Accounts Receivable,-12858.00,-249696.00
,12/04/2026,Invoice,2315,Globex Inc,,Globex Inc,Monthly billing,1200 Accounts Receivable,-6400.00,-256096.00
,12/04/2026,Invoice,2317,Initech LLC,,Initech LLC,Monthly billing,1200 Accounts Receivable,-4900.00,-260996.00
Total for 4000 Subscription Revenue,,,,,,,,,-260996.00,-260996.00
4100 Professional Services Revenue,,,,,,,,,,
,02/04/2026,Invoice,2022,Stark Industries,,Stark Industries,Monthly billing,1200 Accounts Receivable,-9000.00,-9000.00
,03/04/2026,Invoice,2046,Stark Industries,,Stark Industries,Monthly billing,1200 Accounts Receivable,-9000.00,-18000.00
,04/04/2026,Invoice,2075,Stark Industries,,Stark Industries,Monthly billing,1200 Accounts Receivable,-9000.00,-27000.00
,05/04/2026,Invoice,2104,Stark Industries,,Stark Industries,Monthly billing,1200 Accounts Receivable,-9000.00,-36000.00
,08/04/2026,Invoice,2193,Wayne Enterprises,,Wayne Enterprises,Monthly billing,1200 Accounts Receivable,-12000.00,-48000.00
,09/04/2026,Invoice,2222,Wayne Enterprises,,Wayne Enterprises,Monthly billing,1200 Accounts Receivable,-12000.00,-60000.00
,10/04/2026,Invoice,2254,Wayne Enterprises,,Wayne Enterprises,Monthly billing,1200 Accounts Receivable,-12000.00,-72000.00
,11/04/2026,Invoice,2288,Wayne Enterprises,,Wayne Enterprises,Monthly billing,1200 Accounts Receivable,-12000.00,-84000.00
Total for 4100 Professional Services Revenue,,,,,,,,,-84000.00,-84000.00
5000 Hosting & Infrastructure,,,,,,,,,,
,01/03/2026,Bill,2005,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2400.00,2400.00
,01/03/2026,Bill,2006,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,2800.00
,02/03/2026,Bill,2024,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2484.00,5284.00
,02/03/2026,Bill,2026,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,5684.00
,03/03/2026,Bill,2049,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2571.00,8255.00
,03/03/2026,Bill,2051,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,8655.00
,04/03/2026,Bill,2078,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2661.00,11316.00
,04/03/2026,Bill,2080,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,11716.00
,04/03/2026,Bill,2082,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,12396.00
,05/03/2026,Bill,2107,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2754.00,15150.00
,05/03/2026,Bill,2109,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,15550.00
,05/03/2026,Bill,2111,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,16230.00
,06/03/2026,Bill,2135,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2850.00,19080.00
,06/03/2026,Bill,2137,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,19480.00
,06/03/2026,Bill,2139,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,20160.00
,07/03/2026,Bill,2165,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,2950.00,23110.00
,07/03/2026,Bill,2167,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,23510.00
,07/03/2026,Bill,2169,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,24190.00
,08/03/2026,Bill,2195,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,3053.00,27243.00
,08/03/2026,Bill,2197,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,27643.00
,08/03/2026,Bill,2199,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,28323.00
,09/03/2026,Bill,2225,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,3160.00,31483.00
,09/03/2026,Bill,2227,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,31883.00
,09/03/2026,Bill,2229,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,32563.00
,10/03/2026,Bill,2257,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,3271.00,35834.00
,10/03/2026,Bill,2259,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,36234.00
,10/03/2026,Bill,2261,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,36914.00
,11/03/2026,Bill,2291,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,3385.00,40299.00
,11/03/2026,Bill,2293,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,40699.00
,11/03/2026,Bill,2295,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,41379.00
,12/03/2026,Bill,2321,Amazon Web Services,Amazon Web Services,,Cloud infrastructure,2000 Accounts Payable,3504.00,44883.00
,12/03/2026,Bill,2323,Cloudflare,Cloudflare,,Cloud infrastructure,2000 Accounts Payable,400.00,45283.00
,12/03/2026,Bill,2325,Datadog,Datadog,,Cloud infrastructure,2000 Accounts Payable,680.00,45963.00
Total for 5000 Hosting & Infrastructure,,,,,,,,,45963.00,45963.00
5100 Merchant Processing Fees,,,,,,,,,,
,01/26/2026,Expense,2004,Stripe,Stripe,,Payment processing fees,1000 Checking,470.00,470.00
,02/26/2026,Expense,2023,Stripe,Stripe,,Payment processing fees,1000 Checking,738.00,1208.00
,03/26/2026,Expense,2048,Stripe,Stripe,,Payment processing fees,1000 Checking,887.00,2095.00
,04/26/2026,Expense,2077,Stripe,Stripe,,Payment processing fees,1000 Checking,895.00,2990.00
,05/26/2026,Expense,2106,Stripe,Stripe,,Payment processing fees,1000 Checking,902.00,3892.00
,06/26/2026,Expense,2134,Stripe,Stripe,,Payment processing fees,1000 Checking,649.00,4541.00
,07/26/2026,Expense,2164,Stripe,Stripe,,Payment processing fees,1000 Checking,657.00,5198.00
,08/26/2026,Expense,2194,Stripe,Stripe,,Payment processing fees,1000 Checking,1014.00,6212.00
,09/26/2026,Expense,2224,Stripe,Stripe,,Payment processing fees,1000 Checking,1022.00,7234.00
,10/26/2026,Expense,2256,Stripe,Stripe,,Payment processing fees,1000 Checking,1031.00,8265.00
,11/26/2026,Expense,2290,Stripe,Stripe,,Payment processing fees,1000 Checking,1040.00,9305.00
,12/26/2026,Expense,2320,Stripe,Stripe,,Payment processing fees,1000 Checking,701.00,10006.00
Total for 5100 Merchant Processing Fees,,,,,,,,,10006.00,10006.00
6000 Payroll & Benefits,,,,,,,,,,
,01/01/2026,Check,2008,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,980.00
,01/15/2026,Check,2007,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,13480.00
,02/01/2026,Check,2029,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,14460.00
,02/15/2026,Check,2028,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,26960.00
,03/01/2026,Check,2054,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,27940.00
,03/15/2026,Check,2053,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,40440.00
,04/01/2026,Check,2084,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,41420.00
,04/15/2026,Check,2083,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,53920.00
,05/01/2026,Check,2114,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,54900.00
,05/15/2026,Check,2113,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,67400.00
,06/01/2026,Check,2142,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,68380.00
,06/15/2026,Check,2141,Gusto,Gusto,,Payroll and benefits,1000 Checking,12500.00,80880.00
,07/01/2026,Check,2172,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,81860.00
,07/15/2026,Check,2171,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,96360.00
,08/01/2026,Check,2202,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,97340.00
,08/15/2026,Check,2201,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,111840.00
,09/01/2026,Check,2232,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,112820.00
,09/15/2026,Check,2231,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,127320.00
,10/01/2026,Check,2264,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,128300.00
,10/15/2026,Check,2263,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,142800.00
,11/01/2026,Check,2298,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,143780.00
,11/15/2026,Check,2297,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,158280.00
,12/01/2026,Check,2328,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,1000 Checking,980.00,159260.00
,12/15/2026,Check,2327,Gusto,Gusto,,Payroll and benefits,1000 Checking,14500.00,173760.00
Total for 6000 Payroll & Benefits,,,,,,,,,173760.00,173760.00
6100 Rent & Facilities,,,,,,,,,,
,01/01/2026,Check,2009,WeWork,WeWork,,Office rent,1000 Checking,3400.00,3400.00
,02/01/2026,Check,2030,WeWork,WeWork,,Office rent,1000 Checking,3400.00,6800.00
,03/01/2026,Check,2055,WeWork,WeWork,,Office rent,1000 Checking,3400.00,10200.00
,04/01/2026,Check,2085,WeWork,WeWork,,Office rent,1000 Checking,3400.00,13600.00
,05/01/2026,Check,2115,WeWork,WeWork,,Office rent,1000 Checking,3400.00,17000.00
,06/01/2026,Check,2143,WeWork,WeWork,,Office rent,1000 Checking,3400.00,20400.00
,07/01/2026,Check,2173,WeWork,WeWork,,Office rent,1000 Checking,3400.00,23800.00
,08/01/2026,Check,2203,WeWork,WeWork,,Office rent,1000 Checking,3400.00,27200.00
,09/01/2026,Check,2233,WeWork,WeWork,,Office rent,1000 Checking,3400.00,30600.00
,10/01/2026,Check,2265,WeWork,WeWork,,Office rent,1000 Checking,3400.00,34000.00
,11/01/2026,Check,2299,WeWork,WeWork,,Office rent,1000 Checking,3400.00,37400.00
,12/01/2026,Check,2329,WeWork,WeWork,,Office rent,1000 Checking,3400.00,40800.00
Total for 6100 Rent & Facilities,,,,,,,,,40800.00,40800.00
6200 Advertising & Marketing,,,,,,,,,,
,01/12/2026,Credit Card Charge,2010,Google Ads,Google Ads,,Advertising,2100 Credit Card,1800.00,1800.00
,01/14/2026,Credit Card Charge,2011,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,900.00,2700.00
,02/12/2026,Credit Card Charge,2031,Google Ads,Google Ads,,Advertising,2100 Credit Card,1908.00,4608.00
,02/14/2026,Credit Card Charge,2032,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,850.00,5458.00
,03/12/2026,Credit Card Charge,2056,Google Ads,Google Ads,,Advertising,2100 Credit Card,2022.00,7480.00
,03/14/2026,Credit Card Charge,2057,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1600.00,9080.00
,04/12/2026,Credit Card Charge,2086,Google Ads,Google Ads,,Advertising,2100 Credit Card,2144.00,11224.00
,04/14/2026,Credit Card Charge,2087,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1200.00,12424.00
,05/12/2026,Credit Card Charge,2116,Google Ads,Google Ads,,Advertising,2100 Credit Card,2272.00,14696.00
,05/14/2026,Credit Card Charge,2117,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,950.00,15646.00
,06/12/2026,Credit Card Charge,2144,Google Ads,Google Ads,,Advertising,2100 Credit Card,2409.00,18055.00
,06/14/2026,Credit Card Charge,2145,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1000.00,19055.00
,07/12/2026,Credit Card Charge,2174,Google Ads,Google Ads,,Advertising,2100 Credit Card,2553.00,21608.00
,07/14/2026,Credit Card Charge,2175,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1500.00,23108.00
,07/16/2026,Credit Card Charge,2176,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,24358.00
,08/12/2026,Credit Card Charge,2204,Google Ads,Google Ads,,Advertising,2100 Credit Card,2707.00,27065.00
,08/14/2026,Credit Card Charge,2205,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1400.00,28465.00
,08/16/2026,Credit Card Charge,2206,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,29715.00
,09/12/2026,Credit Card Charge,2234,Google Ads,Google Ads,,Advertising,2100 Credit Card,2869.00,32584.00
,09/14/2026,Credit Card Charge,2235,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1100.00,33684.00
,09/16/2026,Credit Card Charge,2236,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,34934.00
,10/12/2026,Credit Card Charge,2266,Google Ads,Google Ads,,Advertising,2100 Credit Card,3041.00,37975.00
,10/14/2026,Credit Card Charge,2267,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1900.00,39875.00
,10/16/2026,Credit Card Charge,2268,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,41125.00
,11/12/2026,Credit Card Charge,2300,Google Ads,Google Ads,,Advertising,2100 Credit Card,3224.00,44349.00
,11/14/2026,Credit Card Charge,2301,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,2400.00,46749.00
,11/16/2026,Credit Card Charge,2302,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,47999.00
,12/12/2026,Credit Card Charge,2330,Google Ads,Google Ads,,Advertising,2100 Credit Card,3417.00,51416.00
,12/14/2026,Credit Card Charge,2331,Meta Ads,Meta Ads,,Advertising,2100 Credit Card,1300.00,52716.00
,12/16/2026,Credit Card Charge,2332,LinkedIn Ads,LinkedIn Ads,,Advertising,2100 Credit Card,1250.00,53966.00
Total for 6200 Advertising & Marketing,,,,,,,,,53966.00,53966.00
6300 Software Subscriptions,,,,,,,,,,
,01/08/2026,Credit Card Charge,2012,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,340.00
,01/08/2026,Credit Card Charge,2013,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,530.00
,01/08/2026,Credit Card Charge,2014,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,790.00
,02/08/2026,Credit Card Charge,2033,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,1130.00
,02/08/2026,Credit Card Charge,2034,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,1320.00
,02/08/2026,Credit Card Charge,2035,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,1580.00
,03/08/2026,Credit Card Charge,2058,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,1920.00
,03/08/2026,Credit Card Charge,2059,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,2110.00
,03/08/2026,Credit Card Charge,2060,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,2370.00
,04/08/2026,Credit Card Charge,2088,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,2710.00
,04/08/2026,Credit Card Charge,2089,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,2900.00
,04/08/2026,Credit Card Charge,2090,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,3160.00
,04/08/2026,Credit Card Charge,2091,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,3400.00
,05/08/2026,Credit Card Charge,2118,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,3740.00
,05/08/2026,Credit Card Charge,2119,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,3930.00
,05/08/2026,Credit Card Charge,2120,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,4190.00
,05/08/2026,Credit Card Charge,2121,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,4430.00
,06/08/2026,Credit Card Charge,2146,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,4770.00
,06/08/2026,Credit Card Charge,2147,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,4960.00
,06/08/2026,Credit Card Charge,2148,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,5220.00
,06/08/2026,Credit Card Charge,2149,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,5460.00
,07/08/2026,Credit Card Charge,2177,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,5800.00
,07/08/2026,Credit Card Charge,2178,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,5990.00
,07/08/2026,Credit Card Charge,2179,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,6250.00
,07/08/2026,Credit Card Charge,2180,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,6490.00
,08/08/2026,Credit Card Charge,2207,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,6830.00
,08/08/2026,Credit Card Charge,2208,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,7020.00
,08/08/2026,Credit Card Charge,2209,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,7280.00
,08/08/2026,Credit Card Charge,2210,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,7520.00
,09/08/2026,Credit Card Charge,2237,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,7860.00
,09/08/2026,Credit Card Charge,2238,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,8050.00
,09/08/2026,Credit Card Charge,2239,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,8310.00
,09/08/2026,Credit Card Charge,2240,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,8550.00
,09/09/2026,Credit Card Charge,2241,Salesforce,Salesforce,,SaaS subscription,2100 Credit Card,1550.00,10100.00
,10/08/2026,Credit Card Charge,2269,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,10440.00
,10/08/2026,Credit Card Charge,2270,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,10630.00
,10/08/2026,Credit Card Charge,2271,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,10890.00
,10/08/2026,Credit Card Charge,2272,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,11130.00
,10/09/2026,Credit Card Charge,2273,Salesforce,Salesforce,,SaaS subscription,2100 Credit Card,1550.00,12680.00
,11/08/2026,Credit Card Charge,2303,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,13020.00
,11/08/2026,Credit Card Charge,2304,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,13210.00
,11/08/2026,Credit Card Charge,2305,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,13470.00
,11/08/2026,Credit Card Charge,2306,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,13710.00
,11/09/2026,Credit Card Charge,2307,Salesforce,Salesforce,,SaaS subscription,2100 Credit Card,1550.00,15260.00
,12/08/2026,Credit Card Charge,2333,Slack,Slack,,SaaS subscription,2100 Credit Card,340.00,15600.00
,12/08/2026,Credit Card Charge,2334,Notion,Notion,,SaaS subscription,2100 Credit Card,190.00,15790.00
,12/08/2026,Credit Card Charge,2335,GitHub,GitHub,,SaaS subscription,2100 Credit Card,260.00,16050.00
,12/08/2026,Credit Card Charge,2336,Figma,Figma,,SaaS subscription,2100 Credit Card,240.00,16290.00
,12/09/2026,Credit Card Charge,2337,Salesforce,Salesforce,,SaaS subscription,2100 Credit Card,1550.00,17840.00
Total for 6300 Software Subscriptions,,,,,,,,,17840.00,17840.00
6400 Professional Services,,,,,,,,,,
,01/05/2026,Bill,2015,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,1500.00
,02/05/2026,Bill,2036,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,3000.00
,03/05/2026,Bill,2061,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,4500.00
,03/18/2026,Bill,2063,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,2000 Accounts Payable,2600.00,7100.00
,04/05/2026,Bill,2092,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,8600.00
,05/05/2026,Bill,2122,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,10100.00
,06/05/2026,Bill,2150,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,11600.00
,06/18/2026,Bill,2152,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,2000 Accounts Payable,2600.00,14200.00
,07/05/2026,Bill,2181,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,15700.00
,08/05/2026,Bill,2211,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,17200.00
,09/05/2026,Bill,2242,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,18700.00
,09/18/2026,Bill,2244,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,2000 Accounts Payable,2600.00,21300.00
,10/05/2026,Bill,2274,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,22800.00
,11/05/2026,Bill,2308,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,24300.00
,12/05/2026,Bill,2338,Startup Accounting Advisors,Startup Accounting Advisors,,Professional services,2000 Accounts Payable,1500.00,25800.00
,12/18/2026,Bill,2340,Wilson & Gray LLP,Wilson & Gray LLP,,Professional services,2000 Accounts Payable,2600.00,28400.00
Total for 6400 Professional Services,,,,,,,,,28400.00,28400.00
6500 Travel & Meals,,,,,,,,,,
,03/21/2026,Credit Card Charge,2064,Delta Air Lines,Delta Air Lines,,Business travel,2100 Credit Card,1240.00,1240.00
,03/22/2026,Credit Card Charge,2065,Marriott,Marriott,,Business travel,2100 Credit Card,920.00,2160.00
,06/21/2026,Credit Card Charge,2153,Delta Air Lines,Delta Air Lines,,Business travel,2100 Credit Card,980.00,3140.00
,06/22/2026,Credit Card Charge,2154,Marriott,Marriott,,Business travel,2100 Credit Card,780.00,3920.00
,10/21/2026,Credit Card Charge,2277,Delta Air Lines,Delta Air Lines,,Business travel,2100 Credit Card,1460.00,5380.00
,10/22/2026,Credit Card Charge,2278,Marriott,Marriott,,Business travel,2100 Credit Card,1150.00,6530.00
Total for 6500 Travel & Meals,,,,,,,,,6530.00,6530.00
7000 Interest Income,,,,,,,,,,
,01/30/2026,Deposit,2017,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-45.00
,02/30/2026,Deposit,2040,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-90.00
,03/30/2026,Deposit,2068,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-135.00
,04/30/2026,Deposit,2097,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-180.00
,05/30/2026,Deposit,2126,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-225.00
,06/30/2026,Deposit,2157,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-270.00
,07/30/2026,Deposit,2186,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-315.00
,08/30/2026,Deposit,2215,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-360.00
,09/30/2026,Deposit,2247,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-405.00
,10/30/2026,Deposit,2281,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-450.00
,11/30/2026,Deposit,2312,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-495.00
,12/30/2026,Deposit,2343,First Republic Bank,,,Interest earned,1000 Checking,-45.00,-540.00
Total for 7000 Interest Income,,,,,,,,,-540.00,-540.00
8000 Interest Expense,,,,,,,,,,
,01/28/2026,Check,2016,First Republic Bank,First Republic Bank,,Loan interest,1000 Checking,210.00,210.00
,02/28/2026,Check,2038,First Republic Bank,First Republic Bank,,Loan interest,1000 Checking,210.00,420.00
,03/28/2026,Check,2066,First Republic Bank,First Republic Bank,,Loan interest,1000 Checking,210.00,630.00
,04/28/2026,Check,2095,First Republic Bank,First Republic Bank,,Loan interest,1000 Checking,210.00,840.00
,05/28/2026,Check,2124,First Republic Bank,First Republic Bank,,Loan interest,1000 Checking,210.00,1050.00
